,Family,Peer,School,Achieve
0,0.60814,0.03509,0.16607,0.64955
1,0.79369,0.47924,0.53356,2.22485
2,-0.8263,-0.61951,-0.78635,0.39666
3,-1.2531,-1.21675,-1.04076,0.11183
4,0.17399,-0.18517,0.14229,0.05795
5,0.20246,0.12764,0.27311,0.51565
6,0.24184,-0.09022,0.04967,13.96759
7,0.59421,0.2175,0.51876,10.57476
8,-0.61561,-0.48971,-0.63219,0.4013
9,0.99391,0.62228,0.93368,1.81203
10,1.21721,1.00627,1.17381,3.35593
11,0.41436,0.71103,0.58978,6.49895
12,0.83782,0.74281,0.72154,0.90323
13,-0.75512,-0.64411,-0.56986,0.05616
14,-0.37407,-0.13787,-0.2177,50.69869
15,1.40353,1.14085,1.37147,77.54357
16,1.64194,1.29229,1.40269,4.85117
17,-0.31304,-0.0798,-0.21455,52.29444
18,1.28525,1.22441,1.20428,2.98246
19,-1.51938,-1.27565,-1.36598,0.53586
20,-0.38224,-0.05353,-0.3556,0.52912
21,-0.19186,-0.42605,-0.53718,0.13178
22,1.27649,0.81427,0.91967,0.23063
23,0.5231,0.3072,0.47231,23.35427
24,-1.5981,-1.01572,-1.48315,0.11199
25,0.77914,0.87771,0.76496,6.80155
26,-1.04745,-0.77536,-0.91397,0.06625
27,-1.63217,-1.47709,-1.71347,0.00136
28,0.44328,0.60956,0.32833,1.91748
29,-0.24972,0.07876,-0.17216,0.87134
30,-0.3348,-0.39314,-0.37198,0.0872
31,-0.2068,-0.13936,0.05626,0.0377
32,-1.99375,-1.69587,-1.87838,0.08369
33,0.66475,0.7967,0.69865,6.59552
34,-0.27977,0.10817,-0.2645,158.31552
35,-0.4399,-0.66022,-0.5849,7.12315
36,-0.05334,-0.02396,-0.16795,1.30049
37,-2.06699,-1.31832,-1.72082,0.05255
38,-1.0256,-1.15858,-1.1942,0.25
39,0.45847,0.21555,0.31347,0.81223
40,0.93979,0.63454,0.69907,0.34021
41,-0.93238,-0.95216,-1.02725,0.18941
42,-0.35988,-0.30693,-0.46232,1.78813
43,-0.00518,0.35985,0.02485,3.95298
44,-0.18892,-0.07959,0.01704,0.0592
45,0.87271,0.47644,0.57036,47.63796
46,-2.06993,-1.82915,-2.16738,0.07126
47,0.32143,-0.25961,0.21632,1.05535
48,-1.42382,-0.7762,-1.07473,1.66135
49,-0.07852,-0.21347,-0.1175,1.90307
50,-0.14925,-0.03192,-0.36598,12.11131
51,0.52666,0.79149,0.71369,1.85809
52,-1.49102,-1.02073,-1.38103,1.85419
53,-0.94757,-1.28991,-1.24799,0.36516
54,0.2455,0.83794,0.59596,0.6875
55,-0.4163,-0.60312,-0.34951,0.0798
56,1.38143,1.54542,1.59429,1.024
57,1.03806,0.91637,0.97602,12.31441
58,-0.88639,-0.47652,-0.77693,0.01459
59,1.08655,0.657,0.89401,7.15971
60,-1.95142,-1.94199,-1.89645,3.51374
61,2.83384,2.47398,2.79222,0.84495
62,1.86753,1.55229,1.80057,0.71065
63,-1.11172,-0.69732,-0.80197,0.10649
64,1.41958,1.11481,1.24558,37.58256
65,0.5394,0.16182,0.33477,2.63884
66,0.22491,0.748,0.66182,23.59253
67,1.48244,1.47079,1.54283,0.14838
68,2.05425,1.80369,1.90066,1.90786
69,1.24058,0.64484,0.87372,0.17219
